"Date","Price","Open","High","Low","Vol.","Change %"
"09-09-2009","6,216.40","6,217.70","6,251.30","6,182.05","111.59M","0.03%"
"08-09-2009","6,214.65","6,273.55","6,276.05","6,196.50","107.00M","-0.08%"
"07-09-2009","6,219.50","6,180.40","6,225.45","6,179.65","90.41M","1.67%"
"04-09-2009","6,117.20","6,081.35","6,124.35","6,053.30","94.79M","1.07%"
"03-09-2009","6,052.35","6,084.80","6,106.35","6,037.30","81.22M","0.41%"
"02-09-2009","6,027.55","6,015.00","6,084.85","6,014.65","78.62M","-0.39%"
"01-09-2009","6,051.25","6,153.25","6,197.35","6,035.40","111.85M","-1.09%"
"31-08-2009","6,117.90","6,048.15","6,154.45","6,048.15","100.64M","0.08%"
"28-08-2009","6,112.80","6,092.45","6,133.25","6,056.55","109.00M","0.83%"
"27-08-2009","6,062.45","6,043.10","6,099.45","6,043.10","131.73M","0.31%"
"26-08-2009","6,044.00","6,030.70","6,066.60","6,030.70","105.58M","0.74%"
"25-08-2009","5,999.85","5,957.20","6,006.60","5,941.10","103.86M","0.46%"
"24-08-2009","5,972.45","5,892.65","5,982.60","5,892.65","101.80M","2.29%"
"21-08-2009","5,838.90","5,745.40","5,842.60","5,734.90","100.62M","1.30%"
"20-08-2009","5,763.75","5,764.80","5,797.75","5,753.25","81.66M","0.77%"
"19-08-2009","5,719.70","5,816.90","5,861.25","5,692.35","101.43M","-1.53%"
"18-08-2009","5,808.50","5,719.65","5,828.25","5,709.45","89.12M","1.69%"
"17-08-2009","5,711.70","5,904.90","5,904.90","5,700.60","89.22M","-3.86%"
"14-08-2009","5,940.80","5,956.15","5,981.35","5,921.00","118.48M","0.22%"
"13-08-2009","5,927.85","5,816.20","5,937.05","5,816.20","119.40M","3.40%"
"12-08-2009","5,733.10","5,697.90","5,746.20","5,634.40","141.26M","-0.25%"
"11-08-2009","5,747.75","5,710.40","5,786.25","5,692.60","104.92M","0.72%"
"10-08-2009","5,706.70","5,818.80","5,901.80","5,683.80","106.12M","-1.66%"
"07-08-2009","5,803.00","5,869.10","5,942.65","5,790.10","108.61M","-1.86%"
"06-08-2009","5,912.75","6,025.70","6,080.15","5,898.75","130.19M","-2.17%"
"05-08-2009","6,043.70","6,057.65","6,082.75","6,007.95","110.31M","0.27%"
"04-08-2009","6,027.45","6,053.40","6,098.35","5,992.85","136.10M","-0.40%"
"03-08-2009","6,051.50","5,969.10","6,053.30","5,954.05","114.94M","1.70%"
"31-07-2009","5,950.20","5,915.20","5,995.00","5,915.20","120.89M","1.21%"
"30-07-2009","5,879.35","5,854.50","5,901.00","5,825.25","152.54M","0.42%"
"29-07-2009","5,855.00","5,897.70","5,940.00","5,719.30","167.34M","-0.78%"
"28-07-2009","5,900.90","5,866.45","5,917.95","5,842.30","163.58M","1.05%"
