"Date","Price","Open","High","Low","Vol.","Change %"
"06-03-2024","177,805","176,411","178,230","175,976","","0.83%"
"05-03-2024","176,341","175,309","177,568","174,992","","0.62%"
"04-03-2024","175,248","172,510","175,754","172,290","","1.54%"
"01-03-2024","172,590","169,480","173,050","168,965","","1.87%"
"29-02-2024","169,428","168,707","169,996","168,092","","0.48%"
"28-02-2024","168,625","168,324","168,961","167,869","","0.23%"
"27-02-2024","168,244","168,305","169,109","168,195","","0.00%"
"26-02-2024","168,243","168,632","168,882","167,828","","-0.26%"
"23-02-2024","168,678","167,711","169,207","167,147","","0.60%"
"22-02-2024","167,663","168,033","168,690","167,393","","-0.20%"
"21-02-2024","167,997","167,801","168,493","167,510","","0.14%"
"20-02-2024","167,771","167,445","168,457","167,292","","0.22%"
"19-02-2024","167,408","167,128","167,927","166,997","","0.18%"
"16-02-2024","167,114","166,307","167,317","165,658","","0.51%"
"15-02-2024","166,270","165,389","166,757","165,188","","0.53%"
"14-02-2024","165,395","165,645","165,795","164,782","","-0.12%"
"13-02-2024","165,596","167,684","168,483","165,345","","-1.18%"
"12-02-2024","167,576","168,046","168,363","166,942","","-0.26%"
"09-02-2024","168,005","168,817","169,151","167,702","","-0.46%"
"08-02-2024","168,775","168,879","169,189","167,634","","-0.04%"
"07-02-2024","168,845","169,133","169,677","168,516","","-0.15%"
"06-02-2024","169,092","168,174","169,360","167,958","","0.58%"
"05-02-2024","168,116","169,320","169,521","167,302","","-0.64%"
"02-02-2024","169,201","170,529","170,657","168,266","","-0.71%"
"01-02-2024","170,405","169,538","171,362","168,423","","0.57%"
"31-01-2024","169,443","169,321","170,724","168,741","","0.10%"
"30-01-2024","169,280","168,996","170,268","168,659","","0.19%"
"29-01-2024","168,957","167,852","169,432","167,685","","0.72%"
"26-01-2024","167,754","168,080","168,456","167,536","","-0.10%"
"25-01-2024","167,919","167,448","168,314","167,084","","0.31%"
"24-01-2024","167,396","168,691","169,224","167,195","","-0.77%"
"23-01-2024","168,701","168,013","169,337","167,833","","0.44%"
"22-01-2024","167,961","168,682","168,881","167,599","","-0.38%"
"19-01-2024","168,609","168,298","169,434","167,948","","0.23%"
"18-01-2024","168,222","166,913","168,304","166,795","","0.82%"
"17-01-2024","166,850","168,538","168,861","166,489","","-0.97%"
"16-01-2024","168,486","170,202","170,281","168,179","","-0.99%"
"15-01-2024","170,167","169,709","170,678","169,519","","0.25%"
"12-01-2024","169,751","168,607","170,786","168,494","","0.70%"
"11-01-2024","168,566","168,070","169,319","167,218","","0.32%"
"10-01-2024","168,029","168,737","169,431","167,777","","-0.39%"
"09-01-2024","168,694","168,425","169,740","168,379","","0.21%"
"08-01-2024","168,334","169,929","170,130","167,686","","-0.97%"
"05-01-2024","169,987","170,089","171,534","169,354","","-0.04%"
"04-01-2024","170,048","170,030","170,755","169,554","","0.04%"
"03-01-2024","169,978","171,459","172,148","169,155","","-0.83%"
"02-01-2024","171,402","171,721","173,233","171,258","","-0.16%"
"01-01-2024","171,685","171,703","171,708","171,517","","0.06%"
"29-12-2023","171,587","171,812","172,583","171,214","","-0.10%"
"28-12-2023","171,760","173,012","173,904","171,669","","-0.70%"
"27-12-2023","172,972","171,982","173,594","171,651","","0.64%"
"26-12-2023","171,871","170,770","172,064","170,770","","0.67%"
"25-12-2023","170,734","170,791","170,792","170,647","","0.00%"
"22-12-2023","170,738","170,261","172,099","170,240","","0.30%"
"21-12-2023","170,219","169,035","170,328","168,930","","0.85%"
"20-12-2023","168,788","169,572","169,969","168,621","","-0.44%"
"19-12-2023","169,530","168,512","170,079","168,125","","0.67%"
"18-12-2023","168,397","167,718","169,084","167,378","","0.51%"
"15-12-2023","167,550","169,535","169,885","167,352","","-1.22%"
"14-12-2023","169,612","169,020","170,680","168,738","","0.37%"
"13-12-2023","168,980","165,090","169,023","164,534","","2.37%"
"12-12-2023","165,062","165,201","166,467","164,884","","-0.06%"
"11-12-2023","165,160","167,160","167,588","164,773","","-1.18%"
"08-12-2023","167,133","169,125","169,578","166,464","","-1.13%"
"07-12-2023","169,041","168,797","170,027","168,384","","0.17%"
"06-12-2023","168,755","168,263","169,640","168,081","","0.32%"
"05-12-2023","168,222","169,322","170,228","167,543","","-0.61%"
"04-12-2023","169,254","172,463","175,847","168,554","","-1.84%"
"01-12-2023","172,423","169,812","172,804","169,485","","1.58%"
"30-11-2023","169,740","170,403","170,663","169,461","","-0.36%"
"29-11-2023","170,354","170,099","171,032","169,507","","0.18%"
"28-11-2023","170,046","167,865","170,305","167,621","","1.27%"
"27-11-2023","167,907","166,921","168,227","166,746","","0.64%"
"24-11-2023","166,844","166,172","167,025","165,955","","0.55%"
"23-11-2023","165,926","165,755","166,631","165,714","","0.12%"
"22-11-2023","165,731","166,544","167,191","165,537","","-0.42%"
"21-11-2023","166,432","164,800","167,169","164,784","","1.01%"
"20-11-2023","164,761","164,865","165,293","163,799","","-0.04%"
"17-11-2023","164,824","164,811","166,045","164,689","","0.06%"
"16-11-2023","164,719","163,016","165,473","162,825","","1.07%"
"15-11-2023","162,977","163,051","164,182","162,611","","0.07%"
"14-11-2023","162,861","161,972","163,636","161,616","","0.62%"
"13-11-2023","161,853","161,383","162,251","160,837","","0.31%"
"10-11-2023","161,352","163,241","163,445","161,007","","-1.10%"
"09-11-2023","163,147","162,289","163,713","161,915","","0.56%"
"08-11-2023","162,246","163,911","164,059","162,079","","-0.99%"
"07-11-2023","163,862","164,599","164,674","162,890","","-0.42%"
"06-11-2023","164,554","165,659","165,742","164,556","","-0.65%"
"03-11-2023","165,639","165,402","166,737","165,052","","0.23%"
"02-11-2023","165,252","165,112","165,771","164,692","","0.17%"
"01-11-2023","164,975","165,232","165,858","164,023","","-0.09%"
"31-10-2023","165,121","166,178","167,150","164,809","","-0.61%"
"30-10-2023","166,136","166,944","167,158","165,695","","-0.54%"
"27-10-2023","167,029","165,230","167,334","164,472","","1.13%"
"26-10-2023","165,171","164,612","165,928","164,119","","0.37%"
"25-10-2023","164,566","163,621","165,234","163,204","","0.60%"
"24-10-2023","163,585","163,836","164,525","162,299","","-0.17%"
"23-10-2023","163,857","164,775","164,967","163,356","","-0.50%"
"20-10-2023","164,686","164,087","166,104","163,919","","0.41%"
"19-10-2023","164,016","162,258","164,368","161,945","","1.21%"
"18-10-2023","162,062","160,089","163,391","160,060","","1.27%"
"17-10-2023","160,034","159,706","160,829","159,047","","0.23%"
"16-10-2023","159,674","161,024","161,156","158,818","","-0.75%"
"13-10-2023","160,881","155,536","161,049","155,505","","3.37%"
"12-10-2023","155,637","155,840","156,906","155,531","","-0.13%"
"11-10-2023","155,845","154,762","156,071","154,666","","0.75%"
"10-10-2023","154,682","155,016","155,328","154,189","","-0.15%"
"09-10-2023","154,918","152,346","155,247","152,337","","1.72%"
"06-10-2023","152,297","151,468","152,565","150,700","","0.58%"
"05-10-2023","151,418","151,640","152,239","150,968","","-0.12%"
"04-10-2023","151,607","151,716","152,472","151,190","","-0.04%"
