"Date","Price","Open","High","Low","Change %"
"Aug 08, 2018","19.667","19.667","19.667","19.667","0.53%"
"Aug 07, 2018","19.563","19.563","19.563","19.563","0.02%"
"Aug 06, 2018","19.559","19.559","19.559","19.559","0.23%"
"Aug 03, 2018","19.515","19.515","19.515","19.515","1.03%"
"Aug 02, 2018","19.317","19.317","19.317","19.317","-0.88%"
"Aug 01, 2018","19.488","19.488","19.488","19.488","-0.09%"
"Jul 31, 2018","19.506","19.506","19.506","19.506","0.33%"
"Jul 30, 2018","19.442","19.442","19.442","19.442","0.36%"
"Jul 27, 2018","19.372","19.372","19.372","19.372","0.99%"
"Jul 26, 2018","19.182","19.182","19.182","19.182","0.34%"
"Jul 25, 2018","19.117","19.117","19.117","19.117","-0.03%"
"Jul 24, 2018","19.122","19.122","19.122","19.122","0.45%"
"Jul 23, 2018","19.037","19.037","19.037","19.037","0.68%"
"Jul 20, 2018","18.909","18.909","18.909","18.909","0.48%"
"Jul 19, 2018","18.819","18.819","18.819","18.819","-0.12%"
"Jul 18, 2018","18.842","18.842","18.842","18.842","-0.24%"
"Jul 17, 2018","18.888","18.888","18.888","18.888","0.66%"
"Jul 16, 2018","18.764","18.764","18.764","18.764","-0.74%"
"Jul 13, 2018","18.904","18.904","18.904","18.904","-0.04%"
"Jul 12, 2018","18.912","18.912","18.912","18.912","0.70%"
"Jul 11, 2018","18.780","18.780","18.780","18.780","0.02%"
"Jul 10, 2018","18.776","18.776","18.776","18.776","0.87%"
"Jul 09, 2018","18.614","18.614","18.614","18.614","0.74%"
"Jul 06, 2018","18.477","18.477","18.477","18.477","0.22%"
"Jul 05, 2018","18.437","18.437","18.437","18.437","-0.15%"
"Jul 04, 2018","18.465","18.465","18.465","18.465","0.65%"
"Jul 03, 2018","18.346","18.346","18.346","18.346","0.40%"
"Jul 02, 2018","18.273","18.273","18.273","18.273","-0.53%"
"Jun 29, 2018","18.371","18.371","18.371","18.371","1.17%"
"Jun 28, 2018","18.158","18.158","18.158","18.158","-0.76%"
"Jun 27, 2018","18.297","18.297","18.297","18.297","-0.85%"
"Jun 26, 2018","18.454","18.454","18.454","18.454","0.06%"
