"Index Name","Date","Open","High","Low","Close"
"NIFTY 10 YR BENCHMARK G-SEC","03 Oct 2017","-","-","-","1656.65"
"NIFTY 10 YR BENCHMARK G-SEC","02 Oct 2017","-","-","-","1654.63"
"NIFTY 10 YR BENCHMARK G-SEC","29 Sep 2017","-","-","-","1653.73"
"NIFTY 10 YR BENCHMARK G-SEC","28 Sep 2017","-","-","-","1655.95"
"NIFTY 10 YR BENCHMARK G-SEC","27 Sep 2017","-","-","-","1652.73"
"NIFTY 10 YR BENCHMARK G-SEC","26 Sep 2017","-","-","-","1652.18"
"NIFTY 10 YR BENCHMARK G-SEC","25 Sep 2017","-","-","-","1657.56"
"NIFTY 10 YR BENCHMARK G-SEC","22 Sep 2017","-","-","-","1651.62"
"NIFTY 10 YR BENCHMARK G-SEC","21 Sep 2017","-","-","-","1650.00"
"NIFTY 10 YR BENCHMARK G-SEC","20 Sep 2017","-","-","-","1660.76"
"NIFTY 10 YR BENCHMARK G-SEC","19 Sep 2017","-","-","-","1658.82"
"NIFTY 10 YR BENCHMARK G-SEC","18 Sep 2017","-","-","-","1656.41"
"NIFTY 10 YR BENCHMARK G-SEC","15 Sep 2017","-","-","-","1656.87"
"NIFTY 10 YR BENCHMARK G-SEC","14 Sep 2017","-","-","-","1657.53"
"NIFTY 10 YR BENCHMARK G-SEC","13 Sep 2017","-","-","-","1657.74"
"NIFTY 10 YR BENCHMARK G-SEC","12 Sep 2017","-","-","-","1660.79"
"NIFTY 10 YR BENCHMARK G-SEC","11 Sep 2017","-","-","-","1659.85"
"NIFTY 10 YR BENCHMARK G-SEC","08 Sep 2017","-","-","-","1661.16"
"NIFTY 10 YR BENCHMARK G-SEC","07 Sep 2017","-","-","-","1663.96"
"NIFTY 10 YR BENCHMARK G-SEC","06 Sep 2017","-","-","-","1664.70"
"NIFTY 10 YR BENCHMARK G-SEC","05 Sep 2017","-","-","-","1665.44"
"NIFTY 10 YR BENCHMARK G-SEC","04 Sep 2017","-","-","-","1665.37"
"NIFTY 10 YR BENCHMARK G-SEC","01 Sep 2017","-","-","-","1665.93"
"NIFTY 10 YR BENCHMARK G-SEC","31 Aug 2017","-","-","-","1660.77"
"NIFTY 10 YR BENCHMARK G-SEC","30 Aug 2017","-","-","-","1659.15"
"NIFTY 10 YR BENCHMARK G-SEC","29 Aug 2017","-","-","-","1659.55"
"NIFTY 10 YR BENCHMARK G-SEC","28 Aug 2017","-","-","-","1655.25"
"NIFTY 10 YR BENCHMARK G-SEC","25 Aug 2017","-","-","-","1657.84"
"NIFTY 10 YR BENCHMARK G-SEC","24 Aug 2017","-","-","-","1657.54"
"NIFTY 10 YR BENCHMARK G-SEC","23 Aug 2017","-","-","-","1657.58"
"NIFTY 10 YR BENCHMARK G-SEC","22 Aug 2017","-","-","-","1657.29"
"NIFTY 10 YR BENCHMARK G-SEC","21 Aug 2017","-","-","-","1659.86"
"NIFTY 10 YR BENCHMARK G-SEC","18 Aug 2017","-","-","-","1659.12"
"NIFTY 10 YR BENCHMARK G-SEC","17 Aug 2017","-","-","-","1656.01"
"NIFTY 10 YR BENCHMARK G-SEC","16 Aug 2017","-","-","-","1655.72"
"NIFTY 10 YR BENCHMARK G-SEC","15 Aug 2017","-","-","-","1656.85"
"NIFTY 10 YR BENCHMARK G-SEC","14 Aug 2017","-","-","-","1656.56"
"NIFTY 10 YR BENCHMARK G-SEC","11 Aug 2017","-","-","-","1657.81"
"NIFTY 10 YR BENCHMARK G-SEC","10 Aug 2017","-","-","-","1658.42"
"NIFTY 10 YR BENCHMARK G-SEC","09 Aug 2017","-","-","-","1661.43"
"NIFTY 10 YR BENCHMARK G-SEC","08 Aug 2017","-","-","-","1662.17"
"NIFTY 10 YR BENCHMARK G-SEC","07 Aug 2017","-","-","-","1661.91"
"NIFTY 10 YR BENCHMARK G-SEC","04 Aug 2017","-","-","-","1663.14"
"NIFTY 10 YR BENCHMARK G-SEC","03 Aug 2017","-","-","-","1664.03"
"NIFTY 10 YR BENCHMARK G-SEC","02 Aug 2017","-","-","-","1660.04"
"NIFTY 10 YR BENCHMARK G-SEC","01 Aug 2017","-","-","-","1662.06"
"NIFTY 10 YR BENCHMARK G-SEC","31 Jul 2017","-","-","-","1658.88"
"NIFTY 10 YR BENCHMARK G-SEC","28 Jul 2017","-","-","-","1658.68"
"NIFTY 10 YR BENCHMARK G-SEC","27 Jul 2017","-","-","-","1660.93"
"NIFTY 10 YR BENCHMARK G-SEC","26 Jul 2017","-","-","-","1660.03"
"NIFTY 10 YR BENCHMARK G-SEC","25 Jul 2017","-","-","-","1661.49"
"NIFTY 10 YR BENCHMARK G-SEC","24 Jul 2017","-","-","-","1663.07"
"NIFTY 10 YR BENCHMARK G-SEC","21 Jul 2017","-","-","-","1659.62"
"NIFTY 10 YR BENCHMARK G-SEC","20 Jul 2017","-","-","-","1657.42"
"NIFTY 10 YR BENCHMARK G-SEC","19 Jul 2017","-","-","-","1657.60"
"NIFTY 10 YR BENCHMARK G-SEC","18 Jul 2017","-","-","-","1656.55"
"NIFTY 10 YR BENCHMARK G-SEC","17 Jul 2017","-","-","-","1656.08"
"NIFTY 10 YR BENCHMARK G-SEC","14 Jul 2017","-","-","-","1654.43"
"NIFTY 10 YR BENCHMARK G-SEC","13 Jul 2017","-","-","-","1654.91"
"NIFTY 10 YR BENCHMARK G-SEC","12 Jul 2017","-","-","-","1654.37"
"NIFTY 10 YR BENCHMARK G-SEC","11 Jul 2017","-","-","-","1651.15"
"NIFTY 10 YR BENCHMARK G-SEC","10 Jul 2017","-","-","-","1652.77"
"NIFTY 10 YR BENCHMARK G-SEC","07 Jul 2017","-","-","-","1644.61"
"NIFTY 10 YR BENCHMARK G-SEC","06 Jul 2017","-","-","-","1643.61"
"NIFTY 10 YR BENCHMARK G-SEC","05 Jul 2017","-","-","-","1641.67"
"NIFTY 10 YR BENCHMARK G-SEC","04 Jul 2017","-","-","-","1641.60"
"NIFTY 10 YR BENCHMARK G-SEC","03 Jul 2017","-","-","-","1640.82"
"NIFTY 10 YR BENCHMARK G-SEC","30 Jun 2017","-","-","-","1644.77"
"NIFTY 10 YR BENCHMARK G-SEC","29 Jun 2017","-","-","-","1644.98"
"NIFTY 10 YR BENCHMARK G-SEC","28 Jun 2017","-","-","-","1645.71"
"NIFTY 10 YR BENCHMARK G-SEC","27 Jun 2017","-","-","-","1649.53"
"NIFTY 10 YR BENCHMARK G-SEC","26 Jun 2017","-","-","-","1649.67"
"NIFTY 10 YR BENCHMARK G-SEC","23 Jun 2017","-","-","-","1648.80"
"NIFTY 10 YR BENCHMARK G-SEC","22 Jun 2017","-","-","-","1649.22"
"NIFTY 10 YR BENCHMARK G-SEC","21 Jun 2017","-","-","-","1651.68"
"NIFTY 10 YR BENCHMARK G-SEC","20 Jun 2017","-","-","-","1649.58"
"NIFTY 10 YR BENCHMARK G-SEC","19 Jun 2017","-","-","-","1646.92"
"NIFTY 10 YR BENCHMARK G-SEC","16 Jun 2017","-","-","-","1643.16"
"NIFTY 10 YR BENCHMARK G-SEC","15 Jun 2017","-","-","-","1644.11"
"NIFTY 10 YR BENCHMARK G-SEC","14 Jun 2017","-","-","-","1645.25"
"NIFTY 10 YR BENCHMARK G-SEC","13 Jun 2017","-","-","-","1641.99"
"NIFTY 10 YR BENCHMARK G-SEC","12 Jun 2017","-","-","-","1638.97"
"NIFTY 10 YR BENCHMARK G-SEC","09 Jun 2017","-","-","-","1639.76"
"NIFTY 10 YR BENCHMARK G-SEC","08 Jun 2017","-","-","-","1635.92"
"NIFTY 10 YR BENCHMARK G-SEC","07 Jun 2017","-","-","-","1632.15"
"NIFTY 10 YR BENCHMARK G-SEC","06 Jun 2017","-","-","-","1623.29"
