"Date","Price","Open","High","Low","Change %"
"15-02-2006","7.374","7.374","7.374","7.374","0.20%"
"14-02-2006","7.359","7.359","7.359","7.359","0.19%"
"13-02-2006","7.345","7.345","7.345","7.345","-0.10%"
"10-02-2006","7.352","7.352","7.352","7.352","-0.16%"
"08-02-2006","7.364","7.364","7.364","7.364","0.12%"
"07-02-2006","7.355","7.355","7.355","7.355","0.40%"
"06-02-2006","7.326","7.326","7.326","7.326","-0.31%"
"03-02-2006","7.349","7.349","7.349","7.349","-0.62%"
"02-02-2006","7.395","7.395","7.395","7.395","0.37%"
"01-02-2006","7.368","7.368","7.368","7.368","-0.05%"
"31-01-2006","7.372","7.372","7.372","7.372","-0.71%"
"30-01-2006","7.425","7.425","7.425","7.425","-0.80%"
"27-01-2006","7.485","7.485","7.485","7.485","0.50%"
"25-01-2006","7.448","7.448","7.448","7.448","1.68%"
"24-01-2006","7.325","7.325","7.325","7.325","1.67%"
"23-01-2006","7.205","7.205","7.205","7.205","0.03%"
"20-01-2006","7.203","7.203","7.203","7.203","-0.17%"
"19-01-2006","7.215","7.215","7.215","7.215","0.19%"
"18-01-2006","7.201","7.201","7.201","7.201","0.15%"
"17-01-2006","7.190","7.190","7.190","7.190","-0.17%"
"16-01-2006","7.202","7.202","7.202","7.202","-0.15%"
"13-01-2006","7.213","7.213","7.213","7.213","0.24%"
"12-01-2006","7.196","7.196","7.196","7.196","0.11%"
"10-01-2006","7.188","7.188","7.188","7.188","0.01%"
"09-01-2006","7.187","7.187","7.187","7.187","0.06%"
"06-01-2006","7.183","7.183","7.183","7.183","0.10%"
"05-01-2006","7.176","7.176","7.176","7.176","-0.18%"
"04-01-2006","7.189","7.189","7.189","7.189","0.13%"
"03-01-2006","7.180","7.180","7.180","7.180","0.00%"
"02-01-2006","7.180","7.180","7.180","7.180","0.98%"
"30-12-2005","7.110","7.110","7.110","7.110","0.00%"
"29-12-2005","7.110","7.110","7.110","7.110","-0.10%"
"28-12-2005","7.117","7.117","7.117","7.117","0.00%"
"27-12-2005","7.117","7.117","7.117","7.117","-0.11%"
"26-12-2005","7.125","7.125","7.125","7.125","0.04%"
"23-12-2005","7.122","7.122","7.122","7.122","-0.10%"
"22-12-2005","7.129","7.129","7.129","7.129","0.15%"
"21-12-2005","7.118","7.118","7.118","7.118","0.00%"
"20-12-2005","7.118","7.118","7.118","7.118","0.04%"
"19-12-2005","7.115","7.115","7.115","7.115","0.15%"
"16-12-2005","7.104","7.104","7.104","7.104","-0.10%"
"15-12-2005","7.111","7.111","7.111","7.111","0.00%"
"14-12-2005","7.111","7.111","7.111","7.111","0.00%"
"13-12-2005","7.111","7.111","7.111","7.111","0.00%"
"12-12-2005","7.111","7.111","7.111","7.111","0.10%"
"09-12-2005","7.104","7.104","7.104","7.104","0.10%"
"08-12-2005","7.097","7.097","7.097","7.097","0.00%"
"07-12-2005","7.097","7.097","7.097","7.097","0.00%"
"06-12-2005","7.097","7.097","7.097","7.097","0.10%"
"05-12-2005","7.090","7.090","7.090","7.090","-0.10%"
"02-12-2005","7.097","7.097","7.097","7.097","0.25%"
"01-12-2005","7.079","7.079","7.079","7.079","-0.06%"
"30-11-2005","7.083","7.083","7.083","7.083","0.10%"
"29-11-2005","7.076","7.076","7.076","7.076","-0.20%"
"28-11-2005","7.090","7.090","7.090","7.090","-0.01%"
"25-11-2005","7.091","7.091","7.091","7.091","0.31%"
"24-11-2005","7.069","7.069","7.069","7.069","0.06%"
"23-11-2005","7.065","7.065","7.065","7.065","-0.17%"
"22-11-2005","7.077","7.077","7.077","7.077","-0.20%"
"21-11-2005","7.091","7.091","7.091","7.091","-0.04%"
"18-11-2005","7.094","7.094","7.094","7.094","-0.06%"
"17-11-2005","7.098","7.098","7.098","7.098","0.00%"
"16-11-2005","7.098","7.098","7.098","7.098","0.00%"
"14-11-2005","7.098","7.098","7.098","7.098","-0.31%"
"11-11-2005","7.120","7.120","7.120","7.120","-0.04%"
"10-11-2005","7.123","7.123","7.123","7.123","-0.06%"
"09-11-2005","7.127","7.127","7.127","7.127","0.30%"
"08-11-2005","7.106","7.106","7.106","7.106","0.00%"
"07-11-2005","7.106","7.106","7.106","7.106","0.04%"
"04-11-2005","7.103","7.103","7.103","7.103","0.10%"
"03-11-2005","7.096","7.096","7.096","7.096","-0.04%"
"02-11-2005","7.099","7.099","7.099","7.099","0.00%"
"31-10-2005","7.099","7.099","7.099","7.099","0.30%"
"28-10-2005","7.078","7.078","7.078","7.078","-0.10%"
"27-10-2005","7.085","7.085","7.085","7.085","-0.11%"
"26-10-2005","7.093","7.093","7.093","7.093","-0.49%"
"25-10-2005","7.128","7.128","7.128","7.128","0.28%"
"24-10-2005","7.108","7.108","7.108","7.108","-0.88%"
"21-10-2005","7.171","7.171","7.171","7.171","-0.10%"
"20-10-2005","7.178","7.178","7.178","7.178","0.10%"
"19-10-2005","7.171","7.171","7.171","7.171","-0.10%"
"18-10-2005","7.178","7.178","7.178","7.178","0.59%"
"17-10-2005","7.136","7.136","7.136","7.136","0.10%"
"14-10-2005","7.129","7.129","7.129","7.129","-0.20%"
"13-10-2005","7.143","7.143","7.143","7.143","-0.20%"
"11-10-2005","7.157","7.157","7.157","7.157","-0.29%"
"10-10-2005","7.178","7.178","7.178","7.178","-0.01%"
"07-10-2005","7.179","7.179","7.179","7.179","0.00%"
"06-10-2005","7.179","7.179","7.179","7.179","0.49%"
"05-10-2005","7.144","7.144","7.144","7.144","0.00%"
"04-10-2005","7.144","7.144","7.144","7.144","-0.15%"
"03-10-2005","7.155","7.155","7.155","7.155","0.76%"
"01-10-2005","7.101","7.101","7.101","7.101","0.00%"
"30-09-2005","7.101","7.101","7.101","7.101","0.08%"
"29-09-2005","7.095","7.095","7.095","7.095","0.30%"
"28-09-2005","7.074","7.074","7.074","7.074","-0.20%"
"27-09-2005","7.088","7.088","7.088","7.088","0.70%"
"26-09-2005","7.039","7.039","7.039","7.039","0.00%"
"24-09-2005","7.039","7.039","7.039","7.039","-0.30%"
"23-09-2005","7.060","7.060","7.060","7.060","0.21%"
"22-09-2005","7.045","7.045","7.045","7.045","0.57%"
"21-09-2005","7.005","7.005","7.005","7.005","0.00%"
"20-09-2005","7.005","7.005","7.005","7.005","0.10%"
"19-09-2005","6.998","6.998","6.998","6.998","-0.20%"
"17-09-2005","7.012","7.012","7.012","7.012","-0.10%"
"16-09-2005","7.019","7.019","7.019","7.019","0.29%"
"15-09-2005","6.999","6.999","6.999","6.999","-0.20%"
"14-09-2005","7.013","7.013","7.013","7.013","-0.07%"
"13-09-2005","7.018","7.018","7.018","7.018","-0.18%"
"12-09-2005","7.031","7.031","7.031","7.031","-0.04%"
"10-09-2005","7.034","7.034","7.034","7.034","0.00%"
"09-09-2005","7.034","7.034","7.034","7.034","0.00%"
"08-09-2005","7.034","7.034","7.034","7.034","0.13%"
"06-09-2005","7.025","7.025","7.025","7.025","-0.13%"
"05-09-2005","7.034","7.034","7.034","7.034","0.01%"
"03-09-2005","7.033","7.033","7.033","7.033","-0.14%"
"02-09-2005","7.043","7.043","7.043","7.043","-0.56%"
"01-09-2005","7.083","7.083","7.083","7.083","-0.16%"
"31-08-2005","7.094","7.094","7.094","7.094","0.11%"
"30-08-2005","7.086","7.086","7.086","7.086","-0.03%"
"29-08-2005","7.088","7.088","7.088","7.088","0.27%"
"27-08-2005","7.069","7.069","7.069","7.069","-0.17%"
"26-08-2005","7.081","7.081","7.081","7.081","-0.13%"
"25-08-2005","7.090","7.090","7.090","7.090","-0.10%"
"24-08-2005","7.097","7.097","7.097","7.097","0.17%"
"23-08-2005","7.085","7.085","7.085","7.085","0.16%"
"22-08-2005","7.074","7.074","7.074","7.074","0.03%"
"19-08-2005","7.072","7.072","7.072","7.072","0.03%"
"18-08-2005","7.070","7.070","7.070","7.070","-0.10%"
"17-08-2005","7.077","7.077","7.077","7.077","-0.03%"
"16-08-2005","7.079","7.079","7.079","7.079","0.28%"
"13-08-2005","7.059","7.059","7.059","7.059","0.44%"
"12-08-2005","7.028","7.028","7.028","7.028","0.16%"
"11-08-2005","7.017","7.017","7.017","7.017","-0.06%"
"10-08-2005","7.021","7.021","7.021","7.021","-0.44%"
"09-08-2005","7.052","7.052","7.052","7.052","0.61%"
"08-08-2005","7.009","7.009","7.009","7.009","0.11%"
"06-08-2005","7.001","7.001","7.001","7.001","0.20%"
"05-08-2005","6.987","6.987","6.987","6.987","0.10%"
"04-08-2005","6.980","6.980","6.980","6.980","0.09%"
"03-08-2005","6.974","6.974","6.974","6.974","-0.09%"
"02-08-2005","6.980","6.980","6.980","6.980","-0.50%"
"01-08-2005","7.015","7.015","7.015","7.015","0.30%"
"30-07-2005","6.994","6.994","6.994","6.994","0.49%"
"29-07-2005","6.960","6.960","6.960","6.960","-0.56%"
"26-07-2005","6.999","6.999","6.999","6.999","-2.32%"
"25-07-2005","7.165","7.165","7.165","7.165","-0.13%"
"23-07-2005","7.174","7.174","7.174","7.174","0.15%"
"22-07-2005","7.163","7.163","7.163","7.163","0.07%"
"21-07-2005","7.158","7.158","7.158","7.158","-0.22%"
"20-07-2005","7.174","7.174","7.174","7.174","-0.10%"
"19-07-2005","7.181","7.181","7.181","7.181","0.29%"
"18-07-2005","7.160","7.160","7.160","7.160","-0.58%"
"16-07-2005","7.202","7.202","7.202","7.202","0.45%"
"15-07-2005","7.170","7.170","7.170","7.170","-0.53%"
"14-07-2005","7.208","7.208","7.208","7.208","-0.26%"
"13-07-2005","7.227","7.227","7.227","7.227","0.00%"
"12-07-2005","7.227","7.227","7.227","7.227","-0.14%"
"11-07-2005","7.237","7.237","7.237","7.237","0.68%"
"09-07-2005","7.188","7.188","7.188","7.188","-0.07%"
"08-07-2005","7.193","7.193","7.193","7.193","0.49%"
"07-07-2005","7.158","7.158","7.158","7.158","0.55%"
"06-07-2005","7.119","7.119","7.119","7.119","0.98%"
"05-07-2005","7.050","7.050","7.050","7.050","-0.18%"
"04-07-2005","7.063","7.063","7.063","7.063","-0.11%"
"02-07-2005","7.071","7.071","7.071","7.071","1.57%"
"01-07-2005","6.962","6.962","6.962","6.962","0.80%"
"30-06-2005","6.907","6.907","6.907","6.907","0.19%"
"29-06-2005","6.894","6.894","6.894","6.894","-0.10%"
"28-06-2005","6.901","6.901","6.901","6.901","-0.49%"
"27-06-2005","6.935","6.935","6.935","6.935","1.03%"
"25-06-2005","6.864","6.864","6.864","6.864","-0.04%"
"24-06-2005","6.867","6.867","6.867","6.867","0.69%"
"23-06-2005","6.820","6.820","6.820","6.820","-0.20%"
"22-06-2005","6.834","6.834","6.834","6.834","-0.58%"
"21-06-2005","6.874","6.874","6.874","6.874","-0.88%"
"20-06-2005","6.935","6.935","6.935","6.935","-0.20%"
"18-06-2005","6.949","6.949","6.949","6.949","-0.19%"
"17-06-2005","6.962","6.962","6.962","6.962","0.19%"
"16-06-2005","6.949","6.949","6.949","6.949","0.68%"
"15-06-2005","6.902","6.902","6.902","6.902","-0.19%"
